6,"[214, 285]","[255, 214]","[317, 160]","[363, 123]","[395, 83]","[401, 227]","[426, 198]","[366, 191]","[324, 194]","[395, 274]","[410, 241]","[342, 225]","[300, 225]","[373, 315]","[389, 286]","[328, 261]","[288, 252]","[343, 349]","[350, 319]","[309, 288]","[280, 274]"
6,"[206, 293]","[244, 217]","[305, 160]","[352, 116]","[383, 79]","[390, 226]","[417, 199]","[359, 198]","[327, 206]","[388, 274]","[397, 242]","[334, 233]","[321, 244]","[368, 317]","[376, 289]","[321, 273]","[312, 283]","[338, 353]","[343, 328]","[310, 307]","[304, 312]"
6,"[224, 300]","[223, 264]","[237, 229]","[246, 202]","[250, 178]","[284, 240]","[304, 226]","[279, 233]","[264, 239]","[290, 260]","[301, 248]","[272, 253]","[267, 256]","[291, 282]","[299, 271]","[272, 273]","[270, 276]","[289, 303]","[294, 295]","[275, 293]","[272, 294]"
6,"[286, 349]","[281, 288]","[250, 227]","[228, 181]","[236, 140]","[255, 248]","[171, 231]","[189, 233]","[214, 239]","[242, 291]","[154, 264]","[178, 265]","[204, 274]","[229, 328]","[151, 298]","[177, 298]","[203, 306]","[217, 360]","[159, 332]","[180, 329]","[201, 336]"
6,"[292, 361]","[280, 293]","[297, 217]","[310, 160]","[321, 109]","[413, 242]","[380, 234]","[330, 252]","[315, 263]","[438, 294]","[376, 291]","[325, 293]","[325, 292]","[437, 345]","[375, 343]","[333, 338]","[337, 333]","[427, 391]","[377, 391]","[341, 383]","[339, 373]"
6,"[255, 331]","[262, 269]","[298, 206]","[331, 159]","[346, 120]","[392, 222]","[453, 204]","[491, 192]","[524, 184]","[398, 260]","[437, 252]","[383, 262]","[348, 268]","[395, 300]","[425, 297]","[375, 298]","[345, 297]","[385, 341]","[410, 334]","[375, 328]","[354, 324]"
6,"[234, 331]","[250, 261]","[293, 191]","[325, 135]","[342, 89]","[408, 227]","[483, 216]","[531, 209]","[573, 204]","[410, 273]","[451, 268]","[386, 270]","[345, 270]","[400, 320]","[428, 321]","[370, 314]","[337, 306]","[380, 365]","[408, 365]","[368, 352]","[345, 342]"
6,"[295, 347]","[292, 277]","[315, 206]","[336, 148]","[352, 102]","[417, 227]","[471, 200]","[509, 182]","[543, 168]","[432, 268]","[435, 253]","[372, 266]","[347, 276]","[432, 314]","[434, 302]","[376, 305]","[356, 308]","[421, 358]","[430, 348]","[387, 339]","[370, 335]"
6,"[161, 368]","[158, 276]","[183, 195]","[213, 126]","[224, 73]","[310, 199]","[381, 165]","[423, 147]","[464, 130]","[331, 242]","[383, 226]","[314, 249]","[268, 262]","[340, 288]","[389, 278]","[324, 289]","[279, 297]","[337, 336]","[388, 324]","[343, 323]","[307, 327]"
6,"[387, 446]","[401, 356]","[387, 285]","[375, 220]","[386, 176]","[308, 279]","[231, 223]","[187, 192]","[151, 168]","[268, 312]","[218, 268]","[244, 279]","[272, 297]","[243, 352]","[205, 308]","[229, 317]","[253, 336]","[226, 388]","[199, 346]","[221, 351]","[240, 364]"
