15,"[286, 329]","[221, 292]","[167, 229]","[115, 180]","[63, 153]","[256, 157]","[260, 143]","[249, 217]","[241, 255]","[319, 175]","[328, 156]","[289, 235]","[266, 272]","[372, 201]","[391, 176]","[342, 243]","[304, 281]","[410, 232]","[472, 192]","[520, 179]","[562, 155]"
15,"[264, 301]","[218, 282]","[182, 244]","[150, 214]","[117, 200]","[227, 195]","[225, 177]","[221, 218]","[219, 244]","[262, 200]","[261, 183]","[245, 227]","[237, 252]","[293, 210]","[297, 191]","[274, 228]","[257, 252]","[318, 224]","[346, 195]","[368, 182]","[387, 163]"
15,"[238, 306]","[233, 268]","[244, 225]","[251, 186]","[255, 148]","[315, 248]","[276, 241]","[241, 252]","[229, 259]","[324, 287]","[275, 281]","[244, 279]","[237, 280]","[317, 324]","[281, 321]","[252, 311]","[242, 305]","[302, 353]","[302, 364]","[304, 377]","[311, 392]"
15,"[245, 288]","[205, 312]","[158, 322]","[115, 337]","[83, 361]","[136, 264]","[107, 251]","[139, 268]","[167, 282]","[156, 236]","[129, 219]","[162, 250]","[187, 270]","[179, 213]","[158, 195]","[183, 233]","[202, 261]","[204, 197]","[195, 159]","[191, 132]","[184, 105]"
15,"[312, 361]","[261, 319]","[226, 260]","[198, 208]","[166, 182]","[287, 208]","[303, 155]","[303, 197]","[297, 232]","[324, 213]","[338, 165]","[327, 216]","[315, 246]","[356, 225]","[372, 183]","[355, 223]","[339, 253]","[383, 243]","[414, 204]","[437, 183]","[456, 157]"
15,"[243, 311]","[205, 285]","[180, 247]","[158, 212]","[129, 195]","[228, 203]","[243, 187]","[234, 221]","[224, 240]","[260, 210]","[272, 198]","[252, 237]","[239, 252]","[286, 221]","[301, 208]","[277, 240]","[258, 256]","[307, 236]","[336, 212]","[359, 202]","[380, 187]"
15,"[256, 305]","[210, 316]","[163, 311]","[122, 311]","[87, 323]","[170, 246]","[153, 232]","[179, 264]","[196, 283]","[198, 228]","[183, 213]","[203, 256]","[215, 277]","[227, 216]","[217, 198]","[227, 241]","[233, 269]","[254, 211]","[255, 174]","[261, 151]","[264, 124]"
15,"[220, 274]","[229, 239]","[250, 209]","[267, 182]","[281, 156]","[306, 256]","[284, 257]","[251, 255]","[232, 251]","[303, 291]","[271, 290]","[241, 274]","[223, 264]","[289, 318]","[265, 322]","[239, 301]","[221, 286]","[271, 338]","[278, 363]","[278, 381]","[277, 398]"
15,"[257, 380]","[313, 337]","[348, 285]","[380, 240]","[413, 227]","[310, 228]","[294, 171]","[289, 195]","[293, 222]","[270, 230]","[260, 175]","[259, 200]","[262, 222]","[232, 239]","[222, 183]","[225, 203]","[230, 227]","[197, 252]","[164, 198]","[141, 171]","[123, 146]"
15,"[261, 352]","[248, 304]","[254, 254]","[258, 215]","[251, 188]","[317, 249]","[342, 225]","[319, 240]","[299, 256]","[333, 270]","[358, 248]","[326, 261]","[303, 275]","[345, 293]","[371, 275]","[340, 281]","[316, 288]","[353, 318]","[392, 311]","[417, 307]","[441, 302]"
