10,"[320, 378]","[284, 343]","[258, 290]","[255, 246]","[282, 218]","[302, 215]","[306, 144]","[306, 102]","[309, 65]","[335, 227]","[331, 188]","[307, 238]","[295, 274]","[366, 247]","[366, 210]","[335, 253]","[315, 284]","[394, 273]","[422, 234]","[439, 208]","[455, 177]"
10,"[379, 397]","[332, 375]","[292, 337]","[280, 296]","[300, 253]","[288, 227]","[256, 152]","[234, 109]","[218, 66]","[334, 220]","[326, 177]","[335, 242]","[341, 285]","[381, 225]","[379, 184]","[376, 245]","[373, 290]","[427, 239]","[446, 180]","[459, 145]","[469, 106]"
10,"[263, 324]","[255, 279]","[270, 233]","[294, 211]","[323, 205]","[348, 213]","[389, 176]","[414, 153]","[438, 135]","[359, 241]","[380, 219]","[338, 228]","[307, 240]","[364, 272]","[384, 257]","[343, 259]","[314, 260]","[362, 304]","[398, 304]","[421, 306]","[449, 305]"
10,"[378, 260]","[349, 275]","[309, 272]","[282, 257]","[260, 230]","[255, 227]","[204, 209]","[170, 199]","[141, 188]","[273, 202]","[241, 180]","[268, 203]","[288, 221]","[298, 183]","[272, 163]","[292, 190]","[307, 210]","[326, 167]","[310, 132]","[299, 110]","[284, 87]"
10,"[280, 341]","[275, 292]","[299, 244]","[329, 220]","[363, 208]","[363, 226]","[405, 187]","[430, 164]","[455, 145]","[377, 252]","[397, 230]","[356, 242]","[327, 256]","[384, 281]","[400, 266]","[357, 271]","[327, 275]","[387, 311]","[428, 307]","[455, 305]","[484, 300]"
10,"[339, 283]","[300, 278]","[261, 259]","[239, 234]","[231, 203]","[245, 193]","[208, 152]","[183, 128]","[164, 105]","[271, 182]","[250, 152]","[258, 186]","[265, 212]","[300, 179]","[283, 152]","[284, 185]","[285, 210]","[331, 181]","[332, 144]","[333, 122]","[330, 98]"
10,"[266, 312]","[242, 289]","[224, 255]","[232, 224]","[258, 221]","[245, 212]","[247, 171]","[247, 148]","[249, 126]","[268, 218]","[273, 195]","[263, 226]","[257, 246]","[289, 227]","[294, 208]","[281, 236]","[271, 256]","[307, 239]","[326, 215]","[336, 200]","[345, 182]"
10,"[320, 372]","[280, 355]","[242, 326]","[234, 292]","[259, 263]","[247, 239]","[226, 178]","[213, 142]","[201, 107]","[284, 235]","[275, 205]","[275, 256]","[276, 289]","[322, 242]","[317, 215]","[308, 261]","[300, 293]","[357, 255]","[375, 216]","[386, 192]","[395, 162]"
10,"[208, 341]","[155, 334]","[100, 302]","[67, 274]","[64, 236]","[101, 209]","[64, 148]","[39, 114]","[20, 82]","[134, 203]","[101, 169]","[97, 221]","[105, 258]","[170, 207]","[142, 180]","[132, 228]","[128, 260]","[206, 217]","[211, 169]","[208, 141]","[202, 109]"
10,"[406, 323]","[390, 286]","[395, 246]","[424, 223]","[457, 213]","[423, 188]","[441, 135]","[452, 104]","[463, 75]","[453, 203]","[479, 177]","[463, 214]","[449, 237]","[477, 225]","[502, 201]","[483, 231]","[467, 253]","[495, 249]","[532, 226]","[557, 211]","[579, 193]"
